what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576281320594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281332261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281334019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281334101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281335852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281337090
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576281339039
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576281339066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281340501
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576281362223
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576281367578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576281367632
error,log,,,"Internal Error",1576281392830
error,log,,,"Internal Error",1576281442998
error,log,,,"Internal Error",1576281450549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576281523128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281525943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281528203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281529520
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576281531515
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576281531551
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576281539927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576281540103
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576281548491
