what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1575521367528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521375119
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1575521404208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521404818
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575521405422
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1575521405528
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1575521405591
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575521405633
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1575521405921
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1575521414667
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1575521416941
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1575521416966
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1575521416978
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1575521416985
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1575521417012
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1575521417019
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1575521417062
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1575521417064
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1575521417187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521542660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521572568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521580324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521591464
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1575521591843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521599716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521622393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521626670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521719636
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1575521817488
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1575521821458
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1575521847117
error,log,,,"Unhandled event loop exception",1575521859202
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1575521918528
error,log,,,"Unhandled event loop exception",1575521926454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575521941338
