what,kind,bundleId,bundleVersion,description,time
error,log,,,"Provisioning exception",1576010585078
error,log,,,"Error reading feature http://downloads.sourceforge.net/project/sapnweclipse/updates/features/com.sap.netweaver.porta.ide.eclipse.feature_0.7.0.201005031829.jar.",1576010585078
error,log,,,"Provisioning exception",1576010587434
error,log,,,"Error reading feature http://downloads.sourceforge.net/project/sapnweclipse/updates/features/com.sap.netweaver.porta.ide.eclipse.compatibility.feature_0.1.0.201005191610.jar.",1576010587435
error,log,,,"Provisioning exception",1576010589298
error,log,,,"Error reading feature http://downloads.sourceforge.net/project/sapnweclipse/updates/features/com.sap.netweaver.porta.ide.eclipse.feature_0.7.1.201005191610.jar.",1576010589299
error,log,,,"Provisioning exception",1576010591129
error,log,,,"Error reading feature http://downloads.sourceforge.net/project/sapnweclipse/updates/features/com.sap.netweaver.porta.ide.eclipse.feature_0.7.2.201006211643.jar.",1576010591129
error,log,,,"Provisioning exception",1576010612604
error,log,,,"Error reading feature http://download.eclipse.org/tools/ve/updates/1.0/features/org.eclipse.jem.sdk_1.1.0.1.jar.",1576010612604
error,log,,,"Provisioning exception",1576010613206
error,log,,,"Error reading feature http://download.eclipse.org/tools/ve/updates/1.0/features/org.eclipse.jem_1.1.0.1.jar.",1576010613206
error,log,,,"Provisioning exception",1576010616044
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf.doc_2.1.1.jar.",1576010616045
error,log,,,"Provisioning exception",1576010616545
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf.ecore.sdo.doc_2.1.1.jar.",1576010616545
error,log,,,"Provisioning exception",1576010617006
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf.ecore.sdo.source_2.1.1.jar.",1576010617006
error,log,,,"Provisioning exception",1576010617453
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf.ecore.sdo_2.1.1.jar.",1576010617454
error,log,,,"Provisioning exception",1576010618099
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf.sdk_2.1.1.jar.",1576010618100
error,log,,,"Provisioning exception",1576010619076
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf.source_2.1.1.jar.",1576010619077
error,log,,,"Provisioning exception",1576010619624
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf_2.1.1.jar.",1576010619625
error,log,,,"Provisioning exception",1576010620087
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.xsd.doc_2.1.1.jar.",1576010620087
error,log,,,"Provisioning exception",1576010620612
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.xsd.source_2.1.1.jar.",1576010620612
error,log,,,"Provisioning exception",1576010621118
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.xsd_2.1.1.jar.",1576010621118
error,log,,,"Provisioning exception",1576010621582
error,log,,,"Error reading feature http://download.eclipse.org/tools/emf/updates/features/org.eclipse.emf.examples_2.1.0.jar.",1576010621583
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1576011035893
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1576011035902
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1576011037224
error,log,,,"Unhandled event loop exception during blocked modal context.",1576011037537
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1576011038047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011076555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1576011076589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011079642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011081410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011084736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011101862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011103785
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1576011118447
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1576011118608
started,bundle,org.eclipse.wst.server.http.ui,1.0.200.v20090113,"org.eclipse.wst.server.http.ui",1576011118612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011127802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1576011127835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011129040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011375157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011377776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011440709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011443465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011446832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011446863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011473614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011475643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011664375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011667771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011671785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011686309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011754464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1576011754500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011757265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011879147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011881635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011975039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576011977018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012100241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012103071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012106275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012110497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012112790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012112820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012441157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012443286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012483317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1576012483349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576012485884
