what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576285309216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285324801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285598196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285600819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285610942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1576285610997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285612156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285687761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285691368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285863160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1576285863217
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1576285872717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576285873013
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1576285877222
error,log,,,"Provisioning exception",1576285877764
error,log,,,"Provisioning exception",1576285879344
error,log,,,"Provisioning exception",1576285880771
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1576285890602
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1576285890624
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1576285890674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576290323680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576290331667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576351694785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576351697078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576354517831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576354520096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576361701561
