what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576222858776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576222877557
error,log,,,"Internal Error",1576222894575
error,log,,,"Internal Error",1576222924558
error,log,,,"Internal Error",1576222987123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223001706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223029347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576223045108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576223050199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223090721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223138504
error,log,,,"Internal Error",1576223144241
error,log,,,"Internal Error",1576223144751
error,log,,,"Internal Error",1576223148955
error,log,,,"Internal Error",1576223171172
error,log,,,"Internal Error",1576223176467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576223216477
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1576223222068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223230119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223349726
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576223351322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576223378408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576223382941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576223389166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576223399193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223403816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223414385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576223417680
error,log,,,"Internal Error",1576223473817
error,log,,,"Internal Error",1576223473933
error,log,,,"Internal Error",1576223481773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576223575557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576224392732
error,log,,,"Internal Error",1576224399835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576224432337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576224456859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576256970343
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576256973656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576257007898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576257469335
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576257474568
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1576257516382
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1576257520844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576257522529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576257532693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576257557286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576257562993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576257590118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576257595102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576257617616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576257620208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1576257678013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576257689103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576257720152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576257729463
error,log,,,"Internal Error",1576257730400
